epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.993,1.78385,14.2768,2.14131,0.21438,0.20285,0.00792,0.0022,2.47853,164.53,3.79378,0.000329588,0.000329588,0.0673708
2,214.3,1.76905,12.4986,2.03506,0.29488,0.08347,0.0062,0.00165,2.81491,198.878,3.81224,0.000662881,0.000662881,0.0343707
3,329.22,1.78187,12.2423,2.03516,0.1428,0.00496,0.00095,0.00027,3.92573,145.385,4.52689,0.000996011,0.000996011,0.00137054
4,425.539,1.74272,11.7606,1.9874,0.80329,0.04955,0.02965,0.01044,2.27733,17.1878,2.94606,0.00099945,0.00099945,0.00099945
5,521.891,1.69323,11.2802,1.94175,0.25841,0.02719,0.01216,0.00372,2.69088,13.244,3.18238,0.000999023,0.000999023,0.000999023
6,617.977,1.65949,10.8334,1.90446,0.37938,0.16054,0.13334,0.05513,2.18459,9.39219,2.67109,0.000998474,0.000998474,0.000998474
7,713.837,1.64033,10.4566,1.88071,0.29987,0.29185,0.22369,0.09012,2.13557,8.566,2.60104,0.000997803,0.000997803,0.000997803
8,809.982,1.60891,10.0959,1.87054,0.23741,0.23746,0.16762,0.06947,2.17529,9.56154,2.64617,0.000997011,0.000997011,0.000997011
9,905.769,1.60589,9.8053,1.85514,0.34123,0.23876,0.19207,0.08119,2.16938,9.4498,2.63408,0.000996097,0.000996097,0.000996097
10,1001.74,1.5883,9.5729,1.83593,0.324,0.3615,0.30733,0.13944,1.95218,7.80049,2.40541,0.000995062,0.000995062,0.000995062
11,1097.71,1.61697,9.38995,1.84949,0.40874,0.40173,0.37611,0.1603,1.99451,7.27287,2.43724,0.000993906,0.000993906,0.000993906
12,1193.9,1.5802,9.21622,1.83697,0.36598,0.26661,0.23642,0.09529,2.23111,8.94698,2.70706,0.000992629,0.000992629,0.000992629
13,1289.78,1.58114,8.91146,1.82364,0.37614,0.41499,0.37943,0.17472,1.95324,7.11729,2.38722,0.000991232,0.000991232,0.000991232
14,1385.45,1.57991,8.9118,1.81603,0.39575,0.48922,0.47033,0.21781,1.90266,6.51335,2.34817,0.000989715,0.000989715,0.000989715
15,1480.9,1.57523,8.74946,1.813,0.43736,0.47326,0.47325,0.19882,2.07267,6.4758,2.53894,0.000988079,0.000988079,0.000988079
16,1576.13,1.56071,8.45547,1.79063,0.51652,0.45932,0.51095,0.24749,1.83448,6.13989,2.28671,0.000986323,0.000986323,0.000986323
17,1671.3,1.54488,8.37597,1.7952,0.54199,0.53176,0.55654,0.25493,1.93255,5.72087,2.38216,0.000984449,0.000984449,0.000984449
18,1766.89,1.54358,8.33496,1.79423,0.36125,0.34592,0.33186,0.14634,2.06906,8.02555,2.49216,0.000982456,0.000982456,0.000982456
19,1862.42,1.5462,8.2653,1.78762,0.47839,0.51622,0.51397,0.21982,2.01714,6.1528,2.42107,0.000980345,0.000980345,0.000980345
20,1957.86,1.53622,8.07372,1.7797,0.48747,0.54804,0.55037,0.26319,1.85715,5.73663,2.29473,0.000978118,0.000978118,0.000978118
21,2053.64,1.54797,8.01014,1.77647,0.4634,0.34499,0.384,0.1657,2.133,7.55467,2.55678,0.000975773,0.000975773,0.000975773
22,2149.22,1.53349,7.91391,1.77938,0.37218,0.43488,0.41254,0.18365,2.06052,6.93394,2.52043,0.000973312,0.000973312,0.000973312
23,2244.94,1.51418,7.79361,1.75897,0.51642,0.56593,0.58607,0.26222,1.9479,5.59521,2.39998,0.000970736,0.000970736,0.000970736
24,2340.77,1.50788,7.64365,1.75327,0.60769,0.60736,0.66937,0.33855,1.74065,4.89966,2.19929,0.000968045,0.000968045,0.000968045
25,2436.73,1.51363,7.58829,1.75692,0.56516,0.5685,0.61367,0.30406,1.83225,5.3222,2.28217,0.000965239,0.000965239,0.000965239
26,2532.55,1.49936,7.60971,1.74709,0.62321,0.6306,0.69922,0.34725,1.78159,4.68527,2.2335,0.00096232,0.00096232,0.00096232
27,2628.64,1.51486,7.5073,1.75728,0.58076,0.63523,0.67425,0.32405,1.80859,5.00143,2.25356,0.000959289,0.000959289,0.000959289
28,2724.33,1.49109,7.54421,1.75015,0.61915,0.65355,0.70743,0.32042,1.89824,4.81694,2.33971,0.000956145,0.000956145,0.000956145
29,2819.9,1.48434,7.27006,1.73247,0.62548,0.61858,0.68998,0.34571,1.73203,4.84623,2.17737,0.000952889,0.000952889,0.000952889
30,2915.58,1.49373,7.21784,1.72557,0.64059,0.59909,0.6649,0.30587,1.92224,4.98462,2.35878,0.000949524,0.000949524,0.000949524
31,3010.9,1.49629,7.28297,1.73777,0.62741,0.61837,0.68625,0.31913,1.90682,4.72271,2.36212,0.000946048,0.000946048,0.000946048
32,3106.2,1.47302,7.19698,1.73268,0.56857,0.58881,0.6408,0.30658,1.85354,5.11898,2.30487,0.000942464,0.000942464,0.000942464
33,3201.4,1.47943,7.15442,1.73375,0.59593,0.60656,0.65433,0.31373,1.86537,5.04525,2.29092,0.000938772,0.000938772,0.000938772
34,3296.66,1.46946,7.02576,1.71505,0.67841,0.69465,0.75241,0.35288,1.88856,4.23777,2.3289,0.000934973,0.000934973,0.000934973
35,3392.29,1.45078,6.91325,1.69833,0.63376,0.66422,0.72763,0.36153,1.80875,4.40593,2.25815,0.000931067,0.000931067,0.000931067
36,3487.93,1.47438,6.9083,1.71282,0.64072,0.68214,0.73057,0.36027,1.76251,4.49575,2.21454,0.000927057,0.000927057,0.000927057
37,3583.29,1.47378,6.80327,1.71678,0.6743,0.68425,0.75872,0.37651,1.74604,4.26468,2.18584,0.000922942,0.000922942,0.000922942
38,3679.08,1.4511,6.73104,1.71179,0.67266,0.72304,0.79596,0.3924,1.75234,4.0826,2.18901,0.000918725,0.000918725,0.000918725
39,3774.35,1.46609,6.64544,1.70393,0.70706,0.72059,0.78994,0.38184,1.792,4.10547,2.21983,0.000914405,0.000914405,0.000914405
40,3869.54,1.46481,6.68663,1.72206,0.69395,0.65783,0.73484,0.3686,1.76494,4.361,2.20716,0.000909984,0.000909984,0.000909984
41,3965.2,1.43842,6.67181,1.69565,0.72683,0.7069,0.79462,0.40438,1.71484,3.93642,2.15158,0.000905463,0.000905463,0.000905463
42,4060.69,1.43332,6.62073,1.70299,0.69589,0.73154,0.79948,0.39661,1.76439,3.9664,2.20982,0.000900844,0.000900844,0.000900844
43,4156.1,1.43798,6.49892,1.68748,0.76005,0.69462,0.80374,0.40809,1.7178,3.85882,2.16688,0.000896127,0.000896127,0.000896127
44,4251.45,1.42448,6.41867,1.69175,0.76513,0.71497,0.80615,0.42824,1.66112,3.7553,2.11397,0.000891313,0.000891313,0.000891313
45,4347.06,1.42794,6.4918,1.69247,0.71561,0.74435,0.81432,0.39622,1.77833,3.84094,2.22029,0.000886404,0.000886404,0.000886404
46,4442.37,1.42655,6.391,1.68463,0.71423,0.69392,0.77291,0.37612,1.80884,4.12031,2.24427,0.000881401,0.000881401,0.000881401
47,4537.63,1.42384,6.30987,1.68418,0.74832,0.78124,0.84428,0.433,1.69405,3.63491,2.12986,0.000876305,0.000876305,0.000876305
48,4632.59,1.42919,6.28439,1.69444,0.77437,0.75025,0.83592,0.42798,1.69635,3.72646,2.13218,0.000871117,0.000871117,0.000871117
49,4727.38,1.4118,6.21871,1.66608,0.77363,0.74285,0.824,0.41941,1.72917,3.64992,2.18496,0.000865839,0.000865839,0.000865839
50,4822.73,1.41763,6.24806,1.67582,0.77711,0.79148,0.84774,0.44361,1.69065,3.5984,2.14399,0.000860473,0.000860473,0.000860473
51,4919.1,1.40493,6.19248,1.6642,0.75622,0.76805,0.83545,0.4378,1.67856,3.6341,2.12586,0.000855018,0.000855018,0.000855018
52,5015.39,1.40382,6.18448,1.66448,0.75939,0.78035,0.848,0.44552,1.68533,3.53264,2.13363,0.000849477,0.000849477,0.000849477
53,5111.91,1.4082,6.07827,1.67364,0.78666,0.77138,0.85558,0.44358,1.66538,3.48122,2.10805,0.000843851,0.000843851,0.000843851
54,5208.36,1.40297,6.0731,1.66186,0.78368,0.78563,0.86333,0.47059,1.61111,3.40611,2.05452,0.000838141,0.000838141,0.000838141
55,5304.82,1.40014,6.11738,1.66709,0.76183,0.75343,0.82864,0.40853,1.78089,3.73995,2.21193,0.000832349,0.000832349,0.000832349
56,5402.07,1.39053,6.02095,1.66085,0.78105,0.77818,0.85045,0.44524,1.67313,3.57118,2.10965,0.000826477,0.000826477,0.000826477
